exp,learning context,id,Reaction time
0,PC,26113927880199200565234761728,0.725
0,PC,26475955286121301473729970176,0.75
0,PC,26501350863347397968869195776,0.6745000000000001
0,PC,26501887110197598715302117376,0.7535000000000001
0,PC,26511678199230000005572984832,0.8415
0,PC,26566004181895600950009135104,1.25
0,PC,26663488038463600871228833792,1.017
0,PC,26751014442242299050753785856,0.82
0,PC,26787671151060901606465732608,0.7
0,PC,26819801922433201464978440192,0.5145
0,PC,26821940765077698442782834688,1.3995
0,PC,26831503754014999019547262976,1.1909999999999998
0,PC,26834162439720600537661440000,0.889
0,PC,26841032319297301970344214528,0.832
0,PC,26854805599029998558277271552,1.0805
0,PC,26865941014467398806492151808,1.3155000000000001
0,PC,26875725892454698912267108352,0.777
0,PC,26916938880343301594617479168,0.8174999999999999
0,PC,26923864793043600841881157632,1.0579999999999998
0,PC,26944389699983701551544795136,0.7024999999999999
0,PC,26957199044609602011661336576,1.1465
0,PC,26957261267309799916737396736,1.1615000000000002
0,PC,26958869415798701356331565056,0.675
0,PC,26970743127844298500136239104,0.9215
0,PC,27007665018291902139638743040,0.8314999999999999
0,PC,27051074269551897951218958336,0.8645
0,PC,27063474310059001091054370816,1.093
0,PC,27117817796331298113391165440,0.777
0,PC,27126525049966599851988746240,1.1865
0,PC,27136047543675501401396477952,0.4585
0,PC,27143804243674698678234251264,0.7204999999999999
0,PC,27143906674701600096285360128,1.495
0,PC,27144843594957899454182588416,0.963
0,PC,27146276685877900673145634816,1.751
0,PC,27155118701157800315694612480,1.1925
0,PC,27161787260123600911897460736,0.727
0,PC,27177688633296401156341235712,1.2305000000000001
0,PC,27183505656842199537238933504,0.6565000000000001
0,PC,27187083168935898739430653952,1.732
0,PC,27191478249113201408974258176,1.3675000000000002
0,PC,27230794737124298876820389888,1.385
0,PC,27273715564844399337593110528,0.671
0,PC,27279284415189799731866894336,0.654
0,PC,27282162943689500252979593216,0.846
0,PC,27287233128429601461159067648,0.661
0,PC,27306015921498600605168435200,0.868
0,PC,27320910471160500814497185792,1.741
0,PC,27335850354607998264196202496,0.891
0,PC,27350713958336398107793686528,0.904
0,PC,27355415798764798596916183040,0.9015
0,PC,27369868183758299887841574912,1.3375
0,PC,27381320345345000876135153664,0.9245000000000001
0,PC,27387530559019400228669227008,1.0305
0,PC,27404652104631499703583768576,1.027
0,PC,27421950785719698106301284352,1.5115
0,PC,27429222454408300528333225984,0.6605000000000001
0,PC,27438527733092302104878383104,0.99
0,PC,27449760360904098431966904320,0.776
0,PC,27469026706412599088437526528,0.901
0,PC,27479702827043701176510971904,1.188
0,PC,27481678539080401560075763712,0.858
0,PC,27482566193851898581212987392,0.7505
0,PC,27497002308280701525401010176,0.8374999999999999
0,PC,27501412217703401346585067520,0.44
0,PC,27503703362691802009450840064,0.9475
0,PC,27518325231410602103676076032,0.8454999999999999
0,PC,27519571107968500847087714304,1.052
0,PC,27524728845817101505150320640,1.186
0,PC,27530450138461199990511370240,1.1320000000000001
0,PC,27533706077622001536161808384,1.4925
0,PC,27537170155238500498690539520,0.9565
0,PC,27556671135765602153000861696,0.638
0,PC,27578242769362199298271346688,0.688
0,PC,27578416189980101236225998848,0.925
0,PC,27580653705851598942511300608,0.956
0,PC,27587722610789401591415832576,1.32
0,PC,27605579435025700199942062080,1.075
0,PC,27605683122619600603470364672,1.4385
0,PC,27634092804688801965973438464,1.1115
0,PC,27638572474440898231075340288,0.785
0,PC,27639130259364798378440392704,1.042
0,PC,27639549765615999452532703232,0.879
0,PC,27642433526670298393027280896,1.101
0,PC,27643984788233799229887217664,0.497
0,PC,27650124595172199819691163648,0.9275
0,PC,27650138561942798084769579008,0.848
0,PC,27653678189607399642273677312,0.6575
0,PC,27653720788186197820841132032,0.823
0,PC,27658372674050500867567648768,1.6724999999999999
0,PC,27661466744572101966509899776,0.709
0,PC,27663116287869301475323674624,0.912
0,PC,27667559451466400600577540096,0.704
0,PC,27669788647510498268640444416,1.036
0,PC,27671317384829901733485346816,0.5595
0,PC,27672556124169400692682784768,0.653
