exp,session,id,learning context,accuracy
0,0,26113927880199200565234761728,PC,0.9
0,0,26113927880199200565234761728,PP,0.9
0,0,26113927880199200565234761728,RC,0.9
0,0,26113927880199200565234761728,RP,1.0
0,0,26475955286121301473729970176,PC,1.0
0,0,26475955286121301473729970176,PP,0.7
0,0,26475955286121301473729970176,RC,0.9
0,0,26475955286121301473729970176,RP,0.95
0,0,26501350863347397968869195776,PC,0.6
0,0,26501350863347397968869195776,PP,0.5
0,0,26501350863347397968869195776,RC,0.6
0,0,26501350863347397968869195776,RP,0.4
0,0,26501887110197598715302117376,PC,0.0
0,0,26501887110197598715302117376,PP,0.1
0,0,26501887110197598715302117376,RC,1.0
0,0,26501887110197598715302117376,RP,0.0
0,0,26511678199230000005572984832,PC,0.85
0,0,26511678199230000005572984832,PP,0.45
0,0,26511678199230000005572984832,RC,0.4
0,0,26511678199230000005572984832,RP,0.45
0,0,26566004181895600950009135104,PC,0.95
0,0,26566004181895600950009135104,PP,0.85
0,0,26566004181895600950009135104,RC,0.9
0,0,26566004181895600950009135104,RP,1.0
0,0,26663488038463600871228833792,PC,0.65
0,0,26663488038463600871228833792,PP,0.25
0,0,26663488038463600871228833792,RC,0.75
0,0,26663488038463600871228833792,RP,0.0
0,0,26751014442242299050753785856,PC,0.7
0,0,26751014442242299050753785856,PP,0.6
0,0,26751014442242299050753785856,RC,0.65
0,0,26751014442242299050753785856,RP,0.55
0,0,26787671151060901606465732608,PC,0.9
0,0,26787671151060901606465732608,PP,0.8
0,0,26787671151060901606465732608,RC,0.25
0,0,26787671151060901606465732608,RP,0.85
0,0,26819801922433201464978440192,PC,0.4
0,0,26819801922433201464978440192,PP,0.5
0,0,26819801922433201464978440192,RC,0.75
0,0,26819801922433201464978440192,RP,0.3
0,0,26821940765077698442782834688,PC,0.95
0,0,26821940765077698442782834688,PP,0.3
0,0,26821940765077698442782834688,RC,1.0
0,0,26821940765077698442782834688,RP,1.0
0,0,26831503754014999019547262976,PC,0.9
0,0,26831503754014999019547262976,PP,0.45
0,0,26831503754014999019547262976,RC,0.7
0,0,26831503754014999019547262976,RP,1.0
0,0,26834162439720600537661440000,PC,0.85
0,0,26834162439720600537661440000,PP,0.4
0,0,26834162439720600537661440000,RC,0.8
0,0,26834162439720600537661440000,RP,0.0
0,0,26841032319297301970344214528,PC,1.0
0,0,26841032319297301970344214528,PP,0.55
0,0,26841032319297301970344214528,RC,0.9
0,0,26841032319297301970344214528,RP,0.55
0,0,26854805599029998558277271552,PC,0.7
0,0,26854805599029998558277271552,PP,0.85
0,0,26854805599029998558277271552,RC,0.75
0,0,26854805599029998558277271552,RP,0.6
0,0,26865941014467398806492151808,PC,0.8
0,0,26865941014467398806492151808,PP,0.5
0,0,26865941014467398806492151808,RC,0.45
0,0,26865941014467398806492151808,RP,0.6
0,0,26875725892454698912267108352,PC,0.75
0,0,26875725892454698912267108352,PP,0.65
0,0,26875725892454698912267108352,RC,0.95
0,0,26875725892454698912267108352,RP,0.95
0,0,26916938880343301594617479168,PC,0.55
0,0,26916938880343301594617479168,PP,0.5
0,0,26916938880343301594617479168,RC,0.55
0,0,26916938880343301594617479168,RP,0.45
0,0,26923864793043600841881157632,PC,0.6
0,0,26923864793043600841881157632,PP,0.3
0,0,26923864793043600841881157632,RC,0.85
0,0,26923864793043600841881157632,RP,0.45
0,0,26944389699983701551544795136,PC,0.65
